,observation_hour,speed,rpm,acceleration,throttle_position,engine_temperature,engine_load_value,heart_rate,current_weather,visibility,precipitation,accidents_onsite,design_speed,accidents_time,risk_level_real,risk_level_lbpr,risk_level_lbsp,risk_level_mlp,risk_level_ran,risk_level_gbc,voting
5039,0.3333333333333335,0.6511627906976745,0.5456605483797871,0.573394495412844,0.2149532710280373,0.5483870967741935,0.2640562248995984,0.0967741935483871,0.0333333333333333,0.9999999999999998,0.0541666666666666,0.5118110236220472,1.0,0.2352941176470588,2,1,1,2,2,2,2.0
19364,0.8333333333333335,0.5581395348837209,0.5934738273283481,0.6834862385321101,0.1255006675567423,0.4193548387096775,0.4056224899598393,0.5645161290322581,0.0666666666666666,0.2480620155038759,0.1999999999999999,0.6574803149606299,0.0,0.4117647058823529,3,3,3,3,3,3,3.0
16060,0.3333333333333335,0.0465116279069767,0.2263766145479266,0.5932721712538227,0.0467289719626168,0.6774193548387095,0.2680722891566265,0.7258064516129031,0.0666666666666666,0.3720930232558138,0.3333333333333333,0.1535433070866141,0.0,0.0588235294117647,3,3,3,3,3,3,3.0
14993,0.1666666666666669,0.7286821705426356,0.612735100838432,0.6819571865443426,0.6955941255006675,0.5161290322580645,0.893574297188755,0.7903225806451614,0.4333333333333333,0.0,0.3333333333333333,0.0275590551181102,0.75,0.0,3,4,4,3,3,3,3.0
14242,0.1666666666666669,0.7209302325581395,0.6097892590074779,0.4296636085626911,0.089452603471295,0.4193548387096775,0.2399598393574297,0.7903225806451614,0.4333333333333333,0.0,0.3333333333333333,0.0118110236220472,0.5,0.0,3,4,4,3,3,4,4.0
13723,0.1666666666666669,0.1007751937984496,0.2207115341037842,0.6529051987767585,0.0467289719626168,0.5161290322580645,0.3895582329317268,0.8709677419354839,0.4333333333333333,0.0,0.3333333333333333,0.4015748031496063,1.0,0.3529411764705882,4,4,4,4,4,4,4.0
12652,0.1666666666666669,0.6356589147286822,0.6773170179016542,0.6743119266055047,0.7797062750333779,0.5161290322580645,0.9096385542168676,0.7741935483870966,0.4333333333333333,0.0,0.0,0.0157480314960629,1.0,0.0,2,3,3,2,3,3,3.0
9301,0.1666666666666669,0.5503875968992248,0.5785180149558123,0.6926605504587157,0.2563417890520694,0.4838709677419355,0.610441767068273,0.2741935483870968,0.0666666666666666,0.9999999999999998,0.0,0.0433070866141732,0.5,0.0588235294117647,1,1,1,1,1,1,1.0
10114,0.1666666666666669,0.0697674418604651,0.2698844323589395,0.6146788990825689,0.5233644859813082,0.8064516129032255,0.7128514056224899,0.2419354838709676,0.0,0.9999999999999998,0.0,0.3858267716535433,0.5,0.2941176470588235,1,1,1,1,1,1,1.0
14968,0.1666666666666669,0.6666666666666666,0.701790165420349,0.6743119266055047,0.7489986648865152,0.5483870967741935,0.9136546184738956,0.7096774193548386,0.4333333333333333,0.0,0.3333333333333333,0.3307086614173228,0.75,0.0588235294117647,4,4,4,4,4,4,4.0
14386,0.1666666666666669,0.4341085271317829,0.6018581463856787,0.8103975535168196,0.638184245660881,0.5806451612903225,0.9016064257028112,0.7419354838709676,0.4333333333333333,0.0,0.3333333333333333,0.4094488188976378,1.0,0.3529411764705882,4,4,4,4,4,4,4.0
14517,0.1666666666666669,0.7441860465116279,0.8459098119193292,0.7110091743119267,0.3457943925233644,0.5161290322580645,0.7951807228915663,0.5645161290322581,0.4333333333333333,0.0,0.3333333333333333,0.0236220472440944,0.5,0.1176470588235294,4,4,4,4,4,4,4.0
16808,0.3333333333333335,0.6046511627906976,0.5055517788352595,0.6697247706422019,0.0787716955941255,0.4193548387096775,0.2208835341365461,0.7419354838709676,0.0666666666666666,0.3720930232558138,0.3333333333333333,0.2440944881889764,0.0,0.0588235294117647,3,3,3,3,3,3,3.0
13363,0.1666666666666669,0.6124031007751938,0.6451393609789259,0.6314984709480123,0.3244325767690253,0.4838709677419355,0.7640562248995983,0.9516129032258064,0.4333333333333333,0.0,0.3333333333333333,0.0354330708661417,0.5,0.1764705882352941,4,4,4,4,4,4,4.0
16688,0.3333333333333335,0.813953488372093,0.6847949240879221,0.6743119266055047,0.2977303070761014,0.5161290322580645,0.8423694779116466,0.7741935483870966,0.0666666666666666,0.3720930232558138,0.3333333333333333,0.0157480314960629,1.0,0.0,3,2,2,2,3,3,2.0
12307,0.3333333333333335,0.1860465116279069,0.4450487196918196,0.6269113149847095,0.1935914552736982,0.7741935483870965,0.2208835341365461,0.2258064516129031,0.0333333333333333,0.9999999999999998,0.0,0.0354330708661417,0.5,0.0588235294117647,1,1,1,1,1,1,1.0
18369,0.3333333333333335,0.0,0.0,0.6529051987767585,0.198931909212283,0.5161290322580645,0.0,0.7258064516129031,0.0666666666666666,0.3720930232558138,0.3333333333333333,0.0354330708661417,0.5,0.0588235294117647,2,2,2,2,2,2,2.0
4815,0.3333333333333335,0.6356589147286822,0.671651937457512,0.7721712538226301,0.9479305740987982,0.5483870967741935,0.2640562248995984,0.1451612903225806,0.0333333333333333,0.9999999999999998,0.1958333333333333,0.1850393700787401,0.5,0.1176470588235294,2,3,3,2,2,2,2.0
13206,0.1666666666666669,0.6589147286821705,0.5578971221391343,0.4281345565749236,0.0841121495327102,0.4193548387096775,0.2279116465863453,0.7741935483870966,0.4333333333333333,0.0,0.3333333333333333,0.0433070866141732,0.5,0.0588235294117647,4,4,4,3,3,4,4.0
15965,0.3333333333333335,0.0775193798449612,0.2653523680036256,0.6207951070336392,0.0520694259012016,0.5483870967741935,0.3303212851405622,0.6774193548387096,0.0666666666666666,0.3720930232558138,0.3333333333333333,0.0511811023622047,0.5,0.0,2,2,2,2,2,2,2.0
16983,0.3333333333333335,0.4883720930232558,0.4140040788579198,0.6299694189602447,0.0680907877169559,0.4838709677419355,0.2248995983935743,0.6612903225806451,0.0666666666666666,0.3720930232558138,1.0,0.1023622047244094,1.0,0.1764705882352941,2,2,2,2,2,2,2.0
13327,0.1666666666666669,0.5116279069767442,0.427826875141627,0.6926605504587157,0.0627503337783711,0.4193548387096775,0.3775100401606426,0.7419354838709676,0.4333333333333333,0.0,0.0,0.7401574803149606,0.25,0.5294117647058824,4,4,4,4,4,4,4.0
6039,0.0,0.6046511627906976,0.6426467255835033,0.5030581039755352,0.3765020026702269,0.3225806451612905,0.5431726907630522,0.2096774193548386,0.0666666666666666,0.9999999999999998,0.0,0.0275590551181102,0.5,0.0,1,1,1,1,1,1,1.0
13833,0.1666666666666669,0.5348837209302325,0.7412191253115794,0.7461773700305812,0.2096128170894526,0.4516129032258065,0.6536144578313252,0.8870967741935484,0.4333333333333333,0.0,0.3333333333333333,0.3228346456692913,1.0,0.4705882352941176,4,4,4,4,4,4,4.0
12619,0.1666666666666669,0.751937984496124,0.6306367550419216,0.6253822629969419,0.6862483311081442,0.5161290322580645,0.8975903614457832,0.6451612903225806,0.4333333333333333,0.0,0.0,0.0393700787401574,0.5,0.0588235294117647,3,3,3,3,3,3,3.0
