timestamp,position lat,position long,heart rate,cadence,distance,fractional cadence,enhanced speed,enhanced altitude,cycle length 16,,
1069685385,-3339084,-936219410,72,0,241211,0,15862,15146,0,7,72
1069685387,-3337650,-936222705,71,0,244561,0,16366,15155,0,2,71
1069685389,-3336488,-936226301,71,0,248085,0,16469,15163,0,2,71
1069685391,-3335537,-936230007,71,0,251653,0,16861,15170,0,2,71
1069685393,-3334823,-936233827,71,0,255279,0,17831,15178,0,2,71
1069685395,-3334288,-936237882,70,0,259095,0,18046,15186,0,2,70
1069685397,-3333793,-936242039,69,0,263000,0,18745,15195,0,2,69
1069685399,-3333378,-936246212,68,0,266912,0,19482,15205,0,2,68
1069685401,-3332920,-936250443,68,0,270883,0,19324,15216,0,2,68
1069685402,-3332698,-936252571,68,0,272878,0,19324,15222,0,2,68
1069685404,-3332242,-936256803,69,0,276849,0,19510,15235,0,2,69
1069685405,-3331984,-936258960,70,0,278876,0,19548,15241,0,7,70
1069685406,-3331722,-936261122,72,0,280908,0,19632,15247,0,7,72
1069685407,-3331482,-936263305,72,0,282956,0,19734,15254,0,7,72
1069685408,-3331208,-936265511,72,0,285031,0,19790,15260,0,7,72
1069685409,-3330917,-936267735,72,0,287123,0,19865,15267,0,7,72
1069685410,-3330663,-936269938,72,0,289192,0,19921,15273,0,7,72
1069685411,-3330404,-936272169,71,0,291287,0,19986,15280,0,7,71
1069685412,-3330142,-936274416,71,0,293398,0,20052,15287,0,7,71
1069685413,-3329888,-936276687,71,0,295530,0,20098,15294,0,7,71
1069685414,-3329617,-936278990,71,0,297693,0,20164,15301,0,7,71
1069685415,-3329240,-936281749,71,0,300291,0,20238,15308,0,7,71
1069685417,-3328509,-936286351,71,0,304639,0,21097,15323,0,7,71
1069685419,-3327728,-936290449,73,0,308529,0,21311,15337,0,7,73
1069685420,-3327214,-936293128,74,0,311074,0,21442,15343,0,7,74
1069685421,-3326778,-936295291,74,0,313133,0,21442,15350,0,7,74
1069685423,-3325973,-936299025,71,0,316696,0,21059,15362,0,12,71
1069685425,-3324908,-936303463,69,0,320953,0,20089,15375,0,12,69
1069685427,-3324034,-936306954,69,0,324310,0,19744,15385,0,12,69
1069685429,-3322973,-936310809,68,0,328038,0,18941,15394,0,18,68
1069685431,-3321739,-936315106,69,0,332208,0,18811,15401,0,18,69
1069685433,-3320706,-936318577,69,0,335584,0,19119,15409,0,18,69
1069685435,-3319517,-936322284,70,0,339214,0,18960,15418,0,12,70
1069685437,-3318313,-936326028,71,0,342882,0,18904,15427,0,12,71
1069685439,-3317086,-936329845,70,0,346621,0,18773,15436,0,7,70
1069685441,-3315893,-936333717,69,0,350399,0,18829,15445,0,7,69
1069685443,-3314692,-936337550,68,0,354145,0,18848,15453,0,2,68
1069685445,-3313458,-936341375,69,0,357892,0,18839,15462,0,2,69
1069685447,-3312235,-936345264,69,0,361693,0,18867,15469,0,2,69
1069685449,-3310994,-936349219,69,0,365559,0,18895,15477,0,2,69
1069685451,-3309700,-936353277,69,0,369531,0,18941,15485,0,2,69
1069685452,-3309041,-936355326,69,0,371538,0,19053,15489,0,2,69
1069685453,-3308392,-936357388,69,0,373553,0,19165,15493,0,2,69
1069685454,-3307732,-936359438,69,0,375561,0,19277,15498,0,2,69
1069685455,-3307076,-936361493,68,0,377573,0,19371,15502,0,2,68
1069685456,-3306409,-936363542,68,0,379582,0,20070,15507,0,2,68
1069685457,-3305607,-936366007,67,0,381999,0,20173,15513,0,2,67
1069685458,-3304923,-936368068,66,0,384025,0,20192,15519,0,2,66
1069685459,-3304247,-936370140,65,0,386057,0,20257,15526,0,2,65
1069685461,-3303052,-936373862,65,0,389702,0,20294,15539,0,2,65
1069685462,-3302415,-936375922,64,0,391713,0,20294,15546,0,2,64
1069685463,-3301777,-936377977,64,0,393719,0,20313,15553,0,2,64
1069685465,-3300463,-936382079,64,0,397735,0,20313,15568,0,2,64
1069685466,-3299785,-936384151,64,0,399768,0,20313,15575,0,2,64
1069685467,-3299109,-936386233,64,0,401809,0,20313,15582,0,2,64
1069685468,-3298311,-936388767,65,0,404287,0,20322,15588,,2,65
1069685470,-3297127,-936392544,65,0,407978,0,20322,15601,0,2,65
1069685471,-3296489,-936394650,66,0,410030,0,20388,15607,0,7,66
1069685472,-3295867,-936396759,66,0,412081,0,20388,15613,0,7,66
1069685473,-3295139,-936399290,66,0,414536,0,20593,15619,0,7,66
1069685474,-3294506,-936401400,66,0,416591,0,20611,15625,0,7,66
