,observation_hour,speed,rpm,acceleration,throttle_position,engine_temperature,system_voltage,distance_travelled,engine_load_value,latitude,longitude,altitude,id_vehicle,heart_rate,body_temperature,id_driver,current_weather,has_precipitation,is_day_time,temperature,wind_speed,wind_direction,relative_humidity,visibility,uv_index,cloud_cover,ceiling,pressure,precipitation,accidents_onsite,design_speed,accidents_time
24,15,0.0,887.0,0.0,21.2,106.0,11.6,0.0,24.7,-0.297953,-78.460449,2486.0,4,79.0,28.0,4,9,0,1,23.5,20.8,0.0,74.0,16.1,2.0,74.0,3139.0,1020.0,2.4,9.0,70.0,0.0
25,15,0.0,895.0,0.0,21.6,106.0,11.6,0.0,24.7,-0.297953,-78.460449,2486.0,4,79.0,28.0,4,9,0,1,23.5,20.8,0.0,74.0,16.1,2.0,74.0,3139.0,1020.0,2.4,9.0,70.0,0.0
26,15,0.0,893.0,0.0,21.6,105.0,11.6,0.0,24.7,-0.297953,-78.460449,2486.0,4,82.0,28.0,4,9,0,1,23.5,20.8,0.0,74.0,16.1,2.0,74.0,3139.0,1020.0,2.4,9.0,70.0,0.0
27,15,0.0,894.0,0.0,21.6,105.0,11.6,0.0,24.7,-0.297953,-78.460449,2486.0,4,82.0,28.0,4,9,0,1,23.5,20.8,0.0,74.0,16.1,2.0,74.0,3139.0,1020.0,2.4,9.0,70.0,0.0
28,15,0.0,891.0,0.0,21.2,105.0,11.6,0.0,24.3,-0.297953,-78.460449,2486.0,4,82.0,28.0,4,9,0,1,23.5,20.8,0.0,74.0,16.1,2.0,74.0,3139.0,1020.0,2.4,9.0,70.0,0.0
29,15,0.0,883.0,0.0,21.2,105.0,11.8,0.0,24.7,-0.297953,-78.460449,2486.0,4,85.0,28.0,4,9,0,1,23.5,20.8,0.0,74.0,16.1,2.0,74.0,3139.0,1020.0,2.4,9.0,70.0,0.0
30,15,0.0,896.0,0.0,21.2,105.0,11.8,0.0,23.5,-0.297953,-78.460449,2486.0,4,85.0,28.0,4,9,0,1,23.5,20.8,0.0,74.0,16.1,2.0,74.0,3139.0,1020.0,2.4,9.0,70.0,0.0
31,15,0.0,891.0,0.0,21.2,105.0,11.8,0.0,23.9,-0.297953,-78.460449,2486.0,4,85.0,28.0,4,9,0,1,23.5,20.8,0.0,74.0,16.1,2.0,74.0,3139.0,1020.0,2.4,9.0,70.0,0.0
32,15,0.0,888.0,0.0,21.2,105.0,11.8,0.0,23.1,-0.297953,-78.460449,2486.0,4,85.0,28.0,4,9,0,1,23.5,20.8,0.0,74.0,16.1,2.0,74.0,3139.0,1020.0,2.4,9.0,70.0,0.0
33,15,0.0,896.0,0.0,21.2,104.0,11.8,0.0,23.5,-0.297953,-78.460449,2486.0,4,85.0,28.0,4,9,0,1,23.5,20.8,0.0,74.0,16.1,2.0,74.0,3139.0,1020.0,2.4,9.0,70.0,0.0
34,15,0.0,895.0,0.0,21.2,104.0,11.7,0.0,23.5,-0.297953,-78.460449,2486.0,4,85.0,28.0,4,9,0,1,23.5,20.8,0.0,74.0,16.1,2.0,74.0,3139.0,1020.0,2.4,9.0,70.0,0.0
35,15,0.0,891.0,0.0,21.2,103.0,11.8,0.0,23.5,-0.297953,-78.460449,2486.0,4,85.0,28.0,4,9,0,1,23.5,20.8,0.0,74.0,16.1,2.0,74.0,3139.0,1020.0,2.4,9.0,70.0,0.0
36,15,0.0,891.0,0.0,21.2,103.0,11.7,0.0,23.5,-0.297953,-78.460449,2486.0,4,85.0,28.0,4,9,0,1,23.5,20.8,0.0,74.0,16.1,2.0,74.0,3139.0,1020.0,2.4,9.0,70.0,0.0
37,15,0.0,898.0,0.0,21.2,103.0,11.7,0.0,23.1,-0.297953,-78.460449,2486.0,4,82.0,28.0,4,9,0,1,23.5,20.8,0.0,74.0,16.1,2.0,74.0,3139.0,1020.0,2.4,9.0,70.0,0.0
38,15,0.0,879.0,0.0,21.2,103.0,11.6,0.0,23.1,-0.297953,-78.460449,2486.0,4,82.0,28.0,4,9,0,1,23.5,20.8,0.0,74.0,16.1,2.0,74.0,3139.0,1020.0,2.4,9.0,70.0,0.0
