,observation_hour,speed,rpm,acceleration,throttle_position,engine_temperature,system_voltage,distance_travelled,engine_load_value,latitude,longitude,altitude,id_vehicle,heart_rate,body_temperature,id_driver,current_weather,has_precipitation,is_day_time,temperature,wind_speed,wind_direction,relative_humidity,visibility,uv_index,cloud_cover,ceiling,pressure,precipitation,accidents_onsite,design_speed,accidents_time
0,14,0.0,886.0,0.0,22.0,99.0,12.8,0.0,24.7,-0.29777,-78.460718,2485.0,4,71.0,29.0,4,7,0,1,25.4,23.5,45.0,50.0,16.1,4.0,91.0,9144.0,1014.9,0.0,9.0,70.0,0.0
2,14,0.0,886.0,0.0,22.0,99.0,12.8,0.0,24.7,-0.297772,-78.460717,2485.0,4,71.0,29.0,4,7,0,1,25.4,23.5,45.0,50.0,16.1,4.0,91.0,9144.0,1014.9,0.0,9.0,70.0,0.0
4,14,0.0,884.0,0.0,22.0,99.0,12.8,0.0,24.7,-0.297772,-78.460717,2485.0,4,71.0,29.0,4,7,0,1,25.4,23.5,45.0,50.0,16.1,4.0,91.0,9144.0,1014.9,0.0,9.0,70.0,0.0
5,14,0.0,899.0,0.0,22.0,99.0,12.9,0.0,24.7,-0.297772,-78.460717,2485.0,4,71.0,29.0,4,7,0,1,25.4,23.5,45.0,50.0,16.1,4.0,91.0,9144.0,1014.9,0.0,9.0,70.0,0.0
6,14,0.0,892.0,0.0,22.0,99.0,12.9,0.0,24.7,-0.297772,-78.460717,2485.0,4,74.0,29.0,4,7,0,1,25.4,23.5,45.0,50.0,16.1,4.0,91.0,9144.0,1014.9,0.0,9.0,70.0,0.0
7,14,0.0,896.0,0.0,22.0,99.0,12.9,0.0,24.7,-0.297772,-78.460717,2485.0,4,74.0,29.0,4,7,0,1,25.4,23.5,45.0,50.0,16.1,4.0,91.0,9144.0,1014.9,0.0,9.0,70.0,0.0
8,14,0.0,897.0,0.0,22.0,100.0,12.9,0.0,24.7,-0.297772,-78.460717,2485.0,4,74.0,29.0,4,7,0,1,25.4,23.5,45.0,50.0,16.1,4.0,91.0,9144.0,1014.9,0.0,9.0,70.0,0.0
9,14,0.0,899.0,0.0,22.4,100.0,12.9,0.0,25.1,-0.297772,-78.460717,2485.0,4,74.0,29.0,4,7,0,1,25.4,23.5,45.0,50.0,16.1,4.0,91.0,9144.0,1014.9,0.0,9.0,70.0,0.0
10,14,0.0,889.0,0.0,22.0,100.0,12.6,0.0,24.7,-0.297772,-78.460717,2485.0,4,74.0,29.0,4,7,0,1,25.4,23.5,45.0,50.0,16.1,4.0,91.0,9144.0,1014.9,0.0,9.0,70.0,0.0
11,14,0.0,904.0,0.0,22.0,100.0,12.9,0.0,24.7,-0.297772,-78.460717,2485.0,4,74.0,29.0,4,7,0,1,25.4,23.5,45.0,50.0,16.1,4.0,91.0,9144.0,1014.9,0.0,9.0,70.0,0.0
12,14,0.0,895.0,0.0,22.0,100.0,12.9,0.0,24.7,-0.297772,-78.460717,2485.0,4,74.0,29.0,4,7,0,1,25.4,23.5,45.0,50.0,16.1,4.0,91.0,9144.0,1014.9,0.0,9.0,70.0,0.0
13,14,0.0,887.0,0.0,22.0,101.0,12.8,0.0,24.7,-0.297772,-78.460717,2485.0,4,74.0,29.0,4,7,0,1,25.4,23.5,45.0,50.0,16.1,4.0,91.0,9144.0,1014.9,0.0,9.0,70.0,0.0
14,14,0.0,886.0,0.0,22.4,101.0,12.9,0.0,25.1,-0.297772,-78.460717,2485.0,4,74.0,29.0,4,7,0,1,25.4,23.5,45.0,50.0,16.1,4.0,91.0,9144.0,1014.9,0.0,9.0,70.0,0.0
15,14,0.0,889.0,0.0,22.0,101.0,12.8,0.0,24.7,-0.297772,-78.460717,2485.0,4,74.0,29.0,4,7,0,1,25.4,23.5,45.0,50.0,16.1,4.0,91.0,9144.0,1014.9,0.0,9.0,70.0,0.0
16,14,0.0,898.0,0.0,22.4,101.0,12.9,0.0,24.7,-0.297772,-78.460717,2485.0,4,74.0,29.0,4,7,0,1,25.4,23.5,45.0,50.0,16.1,4.0,91.0,9144.0,1014.9,0.0,9.0,70.0,0.0
17,14,0.0,889.0,0.0,22.4,101.0,12.9,0.0,24.7,-0.297772,-78.460717,2485.0,4,74.0,29.0,4,7,0,1,25.4,23.5,45.0,50.0,16.1,4.0,91.0,9144.0,1014.9,0.0,9.0,70.0,0.0
18,14,0.0,898.0,0.0,22.0,101.0,12.8,0.0,24.7,-0.297772,-78.460717,2485.0,4,74.0,29.0,4,7,0,1,25.4,23.5,45.0,50.0,16.1,4.0,91.0,9144.0,1014.9,0.0,9.0,70.0,0.0
19,14,0.0,893.0,0.0,22.4,101.0,12.9,0.0,24.7,-0.297772,-78.460717,2485.0,4,74.0,29.0,4,7,0,1,25.4,23.5,45.0,50.0,16.1,4.0,91.0,9144.0,1014.9,0.0,9.0,70.0,0.0
20,14,0.0,893.0,0.0,22.0,101.0,12.4,0.0,24.7,-0.297772,-78.460717,2485.0,4,74.0,29.0,4,7,0,1,25.4,23.5,45.0,50.0,16.1,4.0,91.0,9144.0,1014.9,0.0,9.0,70.0,0.0
21,14,0.0,893.0,0.0,22.0,101.0,12.9,0.0,24.7,-0.297772,-78.460717,2485.0,4,74.0,29.0,4,7,0,1,25.4,23.5,45.0,50.0,16.1,4.0,91.0,9144.0,1014.9,0.0,9.0,70.0,0.0
22,14,0.0,887.0,0.0,22.0,101.0,12.9,0.0,24.7,-0.297772,-78.460717,2485.0,4,74.0,29.0,4,7,0,1,25.4,23.5,45.0,50.0,16.1,4.0,91.0,9144.0,1014.9,0.0,9.0,70.0,0.0
23,14,0.0,891.0,0.0,22.0,101.0,12.8,0.0,24.7,-0.297772,-78.460717,2485.0,4,74.0,29.0,4,7,0,1,25.4,23.5,45.0,50.0,16.1,4.0,91.0,9144.0,1014.9,0.0,9.0,70.0,0.0
