,observation_hour,speed,rpm,acceleration,throttle_position,engine_temperature,engine_load_value,heart_rate,current_weather,visibility,precipitation,accidents_onsite,design_speed,accidents_time,risk_level
55,15,0.0,889.0,0.0,21.2,101.0,23.5,79.0,9,16.1,2.4,9.0,70.0,0.0,1
56,15,0.0,893.0,0.0,21.2,101.0,23.5,79.0,9,16.1,2.4,9.0,70.0,0.0,1
57,15,0.0,897.0,0.0,21.2,101.0,23.5,79.0,9,16.1,2.4,9.0,70.0,0.0,1
58,15,0.0,888.0,0.0,21.2,102.0,23.5,79.0,9,16.1,2.4,9.0,70.0,0.0,1
59,15,0.0,889.0,0.0,21.2,102.0,23.5,76.0,9,16.1,2.4,9.0,70.0,0.0,1
60,15,0.0,890.0,0.0,21.2,102.0,23.5,76.0,9,16.1,2.4,9.0,70.0,0.0,1
61,15,0.0,888.0,0.0,21.2,102.0,23.5,76.0,9,16.1,2.4,9.0,70.0,0.0,1
62,15,0.0,889.0,0.0,20.8,102.0,23.5,76.0,9,16.1,2.4,9.0,70.0,0.0,1
63,15,0.0,890.0,0.0,21.2,102.0,23.5,76.0,9,16.1,2.4,9.0,70.0,0.0,1
64,15,0.0,902.0,0.0,21.2,102.0,23.5,72.0,9,16.1,2.4,9.0,70.0,0.0,1
65,15,0.0,890.0,0.0,20.8,102.0,23.1,72.0,9,16.1,2.4,9.0,70.0,0.0,1
66,15,0.0,891.0,0.0,21.2,102.0,23.5,72.0,9,16.1,2.4,9.0,70.0,0.0,1
67,15,0.0,896.0,0.0,21.2,102.0,23.5,68.0,9,16.1,2.4,9.0,70.0,0.0,1
68,15,0.0,888.0,0.0,21.2,102.0,23.1,68.0,9,16.1,2.4,9.0,70.0,0.0,1
69,15,0.0,891.0,0.0,20.4,102.0,22.0,68.0,9,16.1,2.4,9.0,70.0,0.0,1
70,15,0.0,898.0,0.0,20.4,102.0,21.6,68.0,9,16.1,2.4,9.0,70.0,0.0,1
71,15,0.0,882.0,0.0,20.4,102.0,21.2,68.0,9,16.1,2.4,9.0,70.0,0.0,1
72,15,0.0,901.0,0.0,21.2,103.0,22.4,65.0,9,16.1,2.4,9.0,70.0,0.0,1
73,15,0.0,891.0,0.0,20.8,102.0,22.7,65.0,9,16.1,2.4,9.0,70.0,0.0,1
