,observation_hour,speed,rpm,acceleration,throttle_position,engine_temperature,system_voltage,distance_travelled,engine_load_value,latitude,longitude,altitude,id_vehicle,heart_rate,body_temperature,id_driver,current_weather,has_precipitation,is_day_time,temperature,wind_speed,wind_direction,relative_humidity,visibility,uv_index,cloud_cover,ceiling,pressure,precipitation,accidents_onsite,design_speed,accidents_time
0,18,0.0,597.0,0.0,12.9,91.0,13.1,0.0,23.9,-0.297922,-78.460482,2491.0,2,59.0,29.0,5,6,0,0,14.1,17.4,0.0,86.0,8.0,0.0,86.0,3139.0,1019.6,2.2,9.0,70.0,0.0
1,18,0.0,597.0,0.0,12.9,91.0,13.1,0.0,23.9,-0.297916,-78.460482,2489.0,2,59.0,29.0,5,6,0,0,14.1,17.4,0.0,86.0,8.0,0.0,86.0,3139.0,1019.6,2.2,9.0,70.0,0.0
2,18,0.0,597.0,0.0,12.9,91.0,13.1,0.0,23.9,-0.298045,-78.460588,2486.0,2,59.0,29.0,5,6,0,0,14.1,17.4,0.0,86.0,8.0,0.0,86.0,3139.0,1019.6,2.2,9.0,70.0,0.0
3,18,0.0,597.0,0.0,12.9,91.0,13.1,0.0,23.9,-0.29792,-78.460487,2489.0,2,59.0,29.0,5,6,0,0,14.1,17.4,0.0,86.0,8.0,0.0,86.0,3139.0,1019.6,2.2,9.0,70.0,0.0
4,18,0.0,597.0,0.0,12.9,91.0,13.1,0.0,23.9,-0.297923,-78.460489,2488.0,2,62.0,29.0,5,6,0,0,14.1,17.4,0.0,86.0,8.0,0.0,86.0,3139.0,1019.6,2.2,9.0,70.0,0.0
6,18,0.0,597.0,0.0,12.9,91.0,13.1,0.0,23.9,-0.297923,-78.460489,2488.0,2,62.0,29.0,5,6,0,0,14.1,17.4,0.0,86.0,8.0,0.0,86.0,3139.0,1019.6,2.2,9.0,70.0,0.0
7,18,0.0,612.0,0.0,12.9,91.0,13.4,0.0,24.3,-0.297923,-78.460489,2488.0,2,62.0,29.0,5,6,0,0,14.1,17.4,0.0,86.0,8.0,0.0,86.0,3139.0,1019.6,2.2,9.0,70.0,0.0
8,18,0.0,622.0,0.0,12.9,91.0,13.3,0.0,24.3,-0.297923,-78.460489,2488.0,2,62.0,29.0,5,6,0,0,14.1,17.4,0.0,86.0,8.0,0.0,86.0,3139.0,1019.6,2.2,9.0,70.0,0.0
9,18,0.0,593.0,0.0,12.9,91.0,13.3,0.0,23.9,-0.297923,-78.460489,2488.0,2,62.0,29.0,5,6,0,0,14.1,17.4,0.0,86.0,8.0,0.0,86.0,3139.0,1019.6,2.2,9.0,70.0,0.0
10,18,0.0,611.0,0.0,12.9,91.0,13.4,0.0,24.3,-0.297923,-78.460489,2488.0,2,62.0,29.0,5,6,0,0,14.1,17.4,0.0,86.0,8.0,0.0,86.0,3139.0,1019.6,2.2,9.0,70.0,0.0
